Start 1h:3m:14s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s]
0.000,      long,   8.06,  -0.77,   3.23,    65.94,   -32.12,    60.19
0.005,          ,   8.42,  -0.80,   3.24,    70.06,   -36.44,    59.19
0.010,          ,   8.42,  -0.80,   3.24,    70.06,   -36.44,    59.19
0.020,          ,   8.52,  -0.71,   3.45,    73.44,   -33.25,    57.56
0.025,          ,   8.52,  -0.71,   3.45,    73.44,   -33.25,    57.56
0.030,          ,   8.52,  -0.74,   3.88,    76.50,   -25.00,    54.94
0.035,          ,   8.52,  -0.74,   3.88,    76.50,   -25.00,    54.94
0.040,          ,   9.19,  -0.70,   4.06,    76.88,   -18.88,    52.56
0.045,          ,   9.19,  -0.70,   4.06,    74.69,   -12.88,    51.19
0.050,          ,   9.58,  -0.60,   3.76,    74.69,   -12.88,    51.19
0.055,          ,   9.86,  -0.65,   3.95,    73.19,    -5.44,    51.00
0.065,          ,   9.86,  -0.65,   3.95,    73.19,    -5.44,    51.00
0.070,          ,  10.25,  -0.89,   4.50,    74.56,    -1.06,    50.50
0.075,          ,  10.25,  -0.89,   4.50,    74.56,    -1.06,    50.50
0.080,          ,  11.60,  -1.93,   5.17,    75.25,     1.75,    51.62
0.085,          ,  11.60,  -1.93,   5.17,    75.25,     1.75,    51.62
0.090,          ,  12.24,  -2.07,   5.59,    77.81,     2.44,    54.69
0.095,          ,  12.24,  -2.07,   5.59,    78.75,     7.31,    57.81
0.100,          ,  12.61,  -1.89,   5.88,    78.75,     7.31,    57.81
0.105,          ,  12.82,  -1.35,   5.97,    76.62,     9.69,    60.50
0.110,          ,  12.82,  -1.35,   5.97,    76.62,     9.69,    60.50
0.115,          ,  12.11,   0.39,   5.20,    70.06,     5.56,    62.12
0.125,          ,  12.11,   0.39,   5.20,    70.06,     5.56,    62.12
0.130,          ,  11.58,   0.75,   6.12,    64.25,     0.44,    61.44
0.135,          ,  11.58,   0.75,   6.12,    64.25,     0.44,    61.44
0.150,          ,  10.68,   0.20,   5.55,    59.88,    -3.88,    58.19
0.160,          ,   9.36,  -0.01,   4.58,    62.19,    -8.06,    53.25
0.165,          ,   9.36,  -0.01,   4.58,    64.62,   -14.69,    49.44
0.170,          ,   8.71,  -0.06,   4.49,    64.62,   -14.69,    49.44
0.175,          ,   8.71,  -0.06,   4.49,    68.00,    -8.69,    44.38
0.180,          ,   7.89,  -0.15,   4.31,    68.00,    -8.69,    44.38
0.185,          ,   7.29,  -0.24,   3.99,    68.56,    -5.00,    40.00
0.190,          ,   7.29,  -0.24,   3.99,    68.56,    -5.00,    40.00
0.200,          ,   6.81,  -0.12,   3.95,    66.50,    -8.06,    36.31
0.205,          ,   6.81,  -0.12,   3.95,    63.75,   -12.00,    33.12
0.210,          ,   6.83,  -0.12,   4.06,    63.75,   -12.00,    33.12
0.215,          ,   6.83,  -0.12,   4.06,    60.25,   -15.44,    30.81
0.220,          ,   7.09,  -0.26,   4.04,    60.25,   -15.44,    30.81
0.225,          ,   7.09,  -0.26,   4.04,    56.31,   -16.19,    28.12
0.230,          ,   7.42,  -0.36,   3.99,    56.31,   -16.19,    28.12
0.235,          ,   7.42,  -0.36,   3.99,    51.50,   -10.75,    24.88
0.240,          ,   7.34,  -0.80,   3.61,    51.50,   -10.75,    24.88
0.245,          ,   7.17,  -1.01,   3.72,    47.12,    -2.75,    22.06
0.250,          ,   7.17,  -1.01,   3.72,    47.12,    -2.75,    22.06
0.260,          ,   7.23,  -1.14,   4.00,    43.19,    -0.81,    20.44
0.265,          ,   7.23,  -1.14,   4.00,    39.00,    -5.00,    20.56
0.270,          ,   7.43,  -1.21,   4.32,    39.00,    -5.00,    20.56
0.275,          ,   7.43,  -1.21,   4.32,    39.00,    -5.00,    20.56
0.280,          ,   7.74,  -1.01,   4.62,    35.44,    -7.19,    20.56
0.285,          ,   8.15,  -0.82,   4.55,    30.19,   -11.19,    20.06
0.290,          ,   8.15,  -0.82,   4.55,    30.19,   -11.19,    20.06
0.300,          ,   8.41,  -0.54,   4.44,    23.88,   -17.06,    19.88
0.305,          ,   8.41,  -0.54,   4.44,    18.69,   -17.94,    19.00
0.325,          ,   8.54,  -0.24,   4.45,    18.69,   -17.94,    19.00
0.330,          ,   8.72,  -0.17,   4.41,    13.69,   -16.00,    13.44
0.340,          ,   8.94,  -0.16,   4.35,    10.31,   -14.69,     8.75
0.345,          ,   8.94,  -0.16,   4.35,     6.81,   -11.81,     4.56
0.350,          ,   9.17,  -0.33,   3.92,     6.81,   -11.81,     4.56
0.355,          ,   9.07,  -0.46,   3.89,     4.75,    -6.44,     0.62
0.360,          ,   9.07,  -0.46,   3.89,     4.75,    -6.44,     0.62
0.365,          ,   8.96,  -0.61,   4.16,     4.38,    -1.44,    -3.19
0.370,          ,   8.96,  -0.61,   4.16,     4.38,    -1.44,    -3.19
0.380,          ,   8.80,  -0.64,   4.25,     3.38,    -0.38,    -6.81
0.385,          ,   8.80,  -0.64,   4.25,     3.38,    -0.38,    -6.81
0.390,          ,   9.17,  -1.66,   4.26,     0.44,    -4.19,   -10.00
0.395,          ,   9.17,  -1.66,   4.26,    -2.25,   -12.00,    -9.88
0.400,          ,   8.97,  -1.06,   4.27,    -2.25,   -12.00,    -9.88
0.405,          ,   8.72,  -0.69,   4.15,    -1.00,    -8.19,    -8.50
0.410,          ,   8.72,  -0.69,   4.15,    -1.00,    -8.19,    -8.50
0.415,          ,   8.72,  -0.37,   3.94,     2.31,     4.12,    -9.06
0.425,          ,   8.72,  -0.37,   3.94,     2.31,     4.12,    -9.06
0.430,          ,   9.12,  -1.67,   4.46,     4.00,    -1.88,    -5.56
0.435,          ,   9.12,  -1.67,   4.46,     3.69,   -12.12,    -2.88
0.440,          ,   9.19,  -1.92,   4.83,     3.69,   -12.12,    -2.88
0.445,          ,   9.11,  -1.96,   4.21,     3.81,   -13.56,    -3.44
0.450,          ,   9.11,  -1.96,   4.21,     3.81,   -13.56,    -3.44
0.455,          ,   9.35,  -2.05,   3.86,     4.88,   -13.69,    -8.06
0.465,          ,   9.35,  -2.05,   3.86,     4.88,   -13.69,    -8.06
0.470,          ,   9.00,  -2.75,   3.72,     8.88,   -16.88,   -12.06
0.475,          ,   9.00,  -2.75,   3.72,     8.88,   -16.88,   -12.06
0.480,          ,   8.74,  -2.74,   3.96,    14.00,   -11.75,   -14.50
0.500,          ,   8.69,  -2.44,   4.03,    18.00,   -10.94,   -17.50
0.505,          ,   8.49,  -2.53,   3.96,    23.38,    -7.69,   -17.81
0.510,          ,   8.43,  -2.71,   3.62,    23.38,    -7.69,   -17.81
0.515,          ,   8.64,  -2.80,   3.65,    26.75,   -10.25,   -15.94
0.520,          ,   8.64,  -2.80,   3.65,    26.75,   -10.25,   -15.94
0.525,          ,   8.68,  -2.53,   3.61,    28.56,   -11.88,   -14.31
0.535,          ,   8.68,  -2.53,   3.61,    28.56,   -11.88,   -14.31
0.540,          ,   8.46,  -2.41,   3.81,    29.44,    -5.94,   -10.38
0.545,          ,   8.46,  -2.41,   3.81,    29.06,     6.44,    -0.25
0.550,          ,   8.34,  -1.59,   2.34,    29.06,     6.44,    -0.25
0.555,          ,   9.87,  -1.57,   3.71,    28.06,     0.44,     3.19
0.560,          ,   9.87,  -1.57,   3.71,    28.06,     0.44,     3.19
0.565,          ,   9.61,  -1.06,   4.68,    29.69,   -28.62,     0.44
0.570,          ,   9.61,  -1.06,   4.68,    29.69,   -28.62,     0.44
0.580,          ,   8.66,  -0.98,   3.52,    30.12,     7.69,     4.25
0.585,          ,   8.66,  -0.98,   3.52,    30.12,     7.69,     4.25
0.590,          ,   8.94,  -1.41,   3.25,    29.56,    17.31,     5.44
0.595,          ,  10.13,  -2.15,   3.50,    30.38,    -3.81,     3.25
0.600,          ,  10.13,  -2.15,   3.50,    30.38,    -3.81,     3.25
0.605,          ,   9.99,  -2.36,   3.91,    33.31,   -14.12,    -0.44
0.610,          ,   9.99,  -2.36,   3.91,    33.31,   -14.12,    -0.44
0.615,          ,   8.60,  -2.07,   3.40,    35.56,    11.81,     4.94
0.625,          ,   8.60,  -2.07,   3.40,    35.56,    11.81,     4.94
0.630,          ,   9.71,  -1.85,   3.30,    37.50,    22.12,     8.38
0.635,          ,   9.71,  -1.85,   3.30,    37.50,    22.12,     8.38
0.640,          ,  10.24,  -2.23,   3.93,    38.69,   -22.19,     2.69
0.645,          ,   9.53,  -2.14,   3.65,    38.00,   -21.88,     2.19
0.665,          ,   9.53,  -2.14,   3.65,    38.00,   -21.88,     2.19
0.670,          ,   8.93,  -2.51,   3.37,    39.75,     9.12,     7.31
0.675,          ,   9.32,  -2.47,   3.56,    40.75,    -4.31,    10.62
0.685,          ,   9.32,  -2.47,   3.56,    40.75,    -4.31,    10.62
0.690,          ,   9.45,  -2.39,   3.93,    44.25,    -2.69,    11.44
0.695,          ,   9.45,  -2.39,   3.93,    44.06,     5.19,     9.75
0.700,          ,   9.53,  -2.00,   3.55,    44.06,     5.19,     9.75
0.705,          ,   9.53,  -2.06,   3.69,    41.44,     2.94,     8.00
0.710,          ,   9.53,  -2.06,   3.69,    41.44,     2.94,     8.00
0.715,          ,   9.24,  -2.06,   3.73,    39.56,    -4.56,     7.06
0.720,          ,   9.24,  -2.06,   3.73,    39.56,    -4.56,     7.06
0.725,          ,   9.09,  -1.71,   3.60,    39.19,    -4.69,     7.25
0.730,          ,   9.09,  -1.71,   3.60,    39.19,    -4.69,     7.25
0.735,          ,   8.98,  -1.62,   3.26,    40.00,    -5.94,     7.81
0.740,          ,   8.98,  -1.62,   3.26,    40.19,    -3.94,    10.06
0.750,          ,   9.32,  -1.57,   3.01,    40.19,    -3.94,    10.06
0.755,          ,   9.32,  -1.57,   3.01,    42.31,    -8.75,    11.75
0.760,          ,   9.39,  -1.43,   3.41,    42.31,    -8.75,    11.75
0.765,          ,   9.19,  -1.59,   3.09,    43.88,   -13.12,    18.06
0.770,          ,   9.19,  -1.59,   3.09,    43.88,   -13.12,    18.06
0.775,          ,  10.05,  -1.53,   3.25,    45.62,   -16.25,    21.44
0.780,          ,  10.05,  -1.53,   3.25,    45.62,   -16.25,    21.44
0.785,          ,  10.02,  -1.51,   3.26,    50.38,   -33.31,    22.94
0.790,          ,  10.02,  -1.51,   3.26,    51.50,   -27.88,    26.06
0.800,          ,   9.43,  -1.46,   3.20,    51.50,   -27.88,    26.06
0.805,          ,   9.43,  -1.46,   3.20,    51.62,   -16.69,    29.19
0.810,          ,   8.53,  -1.43,   3.34,    51.62,   -16.69,    29.19
0.815,          ,   7.63,  -0.58,   2.80,    50.56,   -15.62,    31.94
0.835,          ,   7.63,  -0.58,   2.80,    50.56,   -15.62,    31.94
0.840,          ,   8.12,  -0.46,   2.30,    53.25,   -31.56,    35.75
0.845,          ,   8.53,  -0.20,   2.40,    56.56,   -27.44,    32.31
0.850,          ,   8.53,  -0.20,   2.40,    56.56,   -27.44,    32.31
0.855,          ,   8.64,  -0.22,   2.69,    56.38,   -24.88,    28.94
0.860,          ,   8.64,  -0.22,   2.69,    56.38,   -24.88,    28.94
0.865,          ,   8.98,   0.00,   2.48,    52.81,   -19.38,    29.06
0.870,          ,   8.98,   0.00,   2.48,    52.81,   -19.38,    29.06
0.875,          ,   9.33,   0.21,   3.14,    54.25,   -17.25,    31.38
0.885,          ,   9.33,   0.21,   3.14,    54.25,   -17.25,    31.38
0.890,          ,   9.32,   0.32,   3.67,    56.00,    -7.62,    34.62
0.895,          ,   9.32,   0.32,   3.67,    54.38,    16.12,    39.25
0.900,          ,   8.80,   0.51,   3.73,    54.38,    16.12,    39.25
0.905,          ,   9.28,   0.39,   3.78,    53.38,    30.06,    43.81
0.910,          ,   9.28,   0.39,   3.78,    53.38,    30.06,    43.81
0.915,          ,  10.05,   0.37,   3.50,    48.75,    23.69,    44.06
0.925,          ,  10.05,   0.37,   3.50,    48.75,    23.69,    44.06
0.930,          ,  10.33,   1.11,   3.35,    45.75,    17.69,    42.31
0.935,          ,  10.33,   1.11,   3.35,    44.75,    32.94,    41.69
0.940,          ,  10.87,   2.15,   1.94,    44.75,    32.94,    41.69
0.945,          ,  10.92,   1.14,   2.91,    44.44,    20.75,    34.19
0.950,          ,  10.92,   1.14,   2.91,    44.44,    20.75,    34.19
0.955,          ,  10.11,   0.04,   3.20,    43.44,     0.31,    27.75
0.960,          ,  10.11,   0.04,   3.20,    43.44,     0.31,    27.75
0.965,          ,   9.21,  -0.45,   3.41,    45.38,    11.12,    26.81
0.970,          ,   9.21,  -0.45,   3.41,    45.38,    11.12,    26.81
0.975,          ,   9.18,  -0.65,   3.55,    51.50,    16.06,    27.38
0.980,          ,   9.18,  -0.65,   3.55,    51.50,    16.06,    27.38
1.000,          ,   9.32,  -1.15,   3.41,    57.50,    12.31,    27.12
1.005,          ,   9.81,   0.10,   3.62,    68.62,    20.12,    24.38
1.015,          ,   9.81,   0.10,   3.62,    65.88,    21.94,    21.81
1.020,          ,   9.60,  -0.13,   3.21,    65.88,    21.94,    21.81
1.025,          ,   8.94,  -0.46,   3.30,    60.94,    19.50,    18.88
1.030,          ,   8.94,  -0.46,   3.30,    60.94,    19.50,    18.88
1.035,          ,   8.50,  -0.54,   3.34,    58.19,    23.06,    19.62
1.040,          ,   8.50,  -0.54,   3.34,    58.19,    23.06,    19.62
1.050,          ,   8.51,  -0.42,   3.16,    56.00,    23.44,    22.50
1.055,          ,   8.79,  -0.14,   3.31,    54.50,    20.19,    24.94
1.060,          ,   8.79,  -0.14,   3.31,    54.50,    20.19,    24.94
1.065,          ,   8.67,   0.21,   3.11,    53.44,    24.75,    26.50
1.070,          ,   8.67,   0.21,   3.11,    53.44,    24.75,    26.50
1.080,          ,   8.80,   0.36,   2.96,    51.50,    21.81,    26.19
1.085,          ,   8.80,   0.36,   2.96,    49.69,     6.69,    23.75
1.090,          ,   9.66,   0.08,   3.59,    49.69,     6.69,    23.75
1.095,          ,   8.83,   0.61,   3.20,    49.44,    -7.56,    19.75
1.100,          ,   8.83,   0.61,   3.20,    49.44,    -7.56,    19.75
1.105,          ,   8.34,   0.89,   2.95,    50.00,    10.81,    21.25
1.110,          ,   8.34,   0.89,   2.95,    50.00,    10.81,    21.25
1.115,          ,   8.51,   1.04,   3.05,    51.19,    18.06,    21.19
1.120,          ,   8.51,   1.04,   3.05,    51.19,    18.06,    21.19
1.130,          ,   9.86,   0.63,   3.31,    48.25,     2.88,    20.88
1.135,          ,   9.59,   0.73,   3.44,    44.50,    -9.75,    18.31
1.140,          ,   9.59,   0.73,   3.44,    44.50,    -9.75,    18.31
1.145,          ,   9.11,   0.64,   3.63,    44.31,    -0.06,    14.81
1.150,          ,   9.11,   0.64,   3.63,    44.31,    -0.06,    14.81
1.170,          ,   8.87,   0.51,   3.86,    44.19,     2.06,    12.62
1.175,          ,   9.09,   0.16,   4.04,    41.56,   -10.56,     8.06
1.180,          ,   9.09,   0.16,   4.04,    41.56,   -10.56,     8.06
1.185,          ,   8.78,   0.39,   3.82,    40.62,    -0.94,     8.31
1.190,          ,   8.78,   0.39,   3.82,    40.62,    -0.94,     8.31
1.195,          ,   8.72,   0.55,   3.97,    39.69,     5.12,     9.62
1.200,          ,   8.72,   0.55,   3.97,    35.31,    -0.44,    10.50
1.205,          ,   8.94,   1.07,   3.97,    35.31,    -0.44,    10.50
1.210,          ,   8.94,   1.07,   3.97,    31.00,    -2.12,    11.12
1.215,          ,   8.88,   1.18,   3.84,    31.00,    -2.12,    11.12
1.225,          ,   8.88,   1.18,   3.84,    31.00,    -2.12,    11.12
1.230,          ,   8.64,   0.76,   3.91,    28.56,     2.38,    11.56
1.235,          ,   8.64,   0.76,   3.91,    27.50,     9.06,    12.75
1.240,          ,   8.31,   0.42,   3.90,    27.50,     9.06,    12.75
1.245,          ,   8.42,  -0.97,   3.54,    27.56,    14.75,    14.31
1.250,          ,   8.42,  -0.97,   3.54,    27.56,    14.75,    14.31
1.255,          ,   8.85,  -0.97,   3.57,    27.75,    11.38,    14.19
1.260,          ,   8.85,  -0.97,   3.57,    29.31,     8.50,    13.75
1.270,          ,   8.96,  -1.17,   3.57,    29.31,     8.50,    13.75
1.275,          ,   8.79,  -1.74,   3.66,    31.12,    14.38,    14.06
1.280,          ,   8.79,  -1.74,   3.66,    31.12,    14.38,    14.06
1.285,          ,   8.42,  -1.19,   3.68,    32.44,    17.75,    14.69
1.290,          ,   8.42,  -1.19,   3.68,    32.44,    17.75,    14.69
1.295,          ,   8.85,  -0.63,   4.18,    33.56,    10.94,    14.62
1.300,          ,   8.85,  -0.63,   4.18,    33.56,    10.94,    14.62
1.305,          ,   8.91,  -0.42,   4.06,    34.06,     2.25,    13.44
1.310,          ,   8.91,  -0.42,   4.06,    34.38,     2.69,    12.31
1.315,          ,   8.75,  -0.43,   4.17,    34.38,     2.69,    12.31
1.335,          ,   8.75,  -0.43,   4.17,    33.88,    -2.25,    11.62
1.340,          ,   8.80,  -0.65,   3.98,    33.75,   -14.75,    16.31
1.350,          ,   8.85,  -0.41,   4.05,    33.75,   -14.75,    16.31
1.355,          ,   8.89,  -0.57,   4.22,    36.00,   -13.69,    19.00
1.360,          ,   8.89,  -0.57,   4.22,    36.00,   -13.69,    19.00
1.365,          ,   8.77,  -0.84,   4.63,    36.50,   -11.12,    17.31
1.370,          ,   8.77,  -0.84,   4.63,    36.50,   -11.12,    17.31
1.375,          ,   8.82,  -0.49,   4.67,    34.38,   -14.25,    13.69
1.380,          ,   8.82,  -0.49,   4.67,    34.38,   -14.25,    13.69
1.385,          ,   9.10,  -0.11,   4.32,    28.19,   -20.56,    11.69
1.395,          ,   9.10,  -0.11,   4.32,    26.31,   -21.38,    11.00
1.400,          ,   9.48,  -0.16,   4.10,    26.31,   -21.38,    11.00
1.405,          ,   8.94,  -0.24,   4.09,    28.62,   -16.94,    13.25
1.410,          ,   8.94,  -0.24,   4.09,    28.62,   -16.94,    13.25
1.415,          ,   8.43,  -0.25,   4.38,    28.50,   -14.75,    15.69
1.420,          ,   8.43,  -0.25,   4.38,    28.50,   -14.75,    15.69
1.425,          ,   8.33,  -0.35,   4.61,    26.38,   -17.81,    15.75
1.430,          ,   8.33,  -0.35,   4.61,    22.69,   -20.62,    16.50
1.440,          ,   8.52,  -0.46,   4.62,    22.69,   -20.62,    16.50
1.445,          ,   8.57,  -0.89,   4.43,    19.38,   -12.75,    19.62
1.450,          ,   8.57,  -0.89,   4.43,    19.38,   -12.75,    19.62
1.455,          ,   8.64,  -0.67,   4.26,    16.06,    -4.25,    23.25
1.460,          ,   8.64,  -0.67,   4.26,    16.06,    -4.25,    23.25
1.465,          ,   8.80,  -0.75,   4.25,    12.06,    -6.81,    24.88
1.470,          ,   8.80,  -0.75,   4.25,    12.06,    -6.81,    24.88
1.475,          ,   8.49,  -1.77,   4.34,    10.06,   -10.94,    23.69
1.485,          ,   8.49,  -1.77,   4.34,    10.56,   -10.56,    21.62
1.490,          ,   8.12,  -1.70,   4.22,    10.56,   -10.56,    21.62
1.505,          ,   8.05,  -1.40,   4.24,    12.06,    -8.00,    21.00
1.515,          ,   8.24,  -0.78,   4.20,    14.56,   -11.81,    19.50
1.520,          ,   8.57,  -0.30,   4.38,    14.56,   -11.81,    19.50
1.525,          ,   8.44,  -0.24,   4.25,    13.56,   -10.38,    18.94
1.530,          ,   8.44,  -0.24,   4.25,    13.56,   -10.38,    18.94
1.535,          ,   8.23,  -0.47,   4.26,    12.12,    -7.56,    18.62
1.540,          ,   8.23,  -0.47,   4.26,    10.19,    -7.56,    17.62
1.550,          ,   8.42,  -0.93,   4.15,    10.19,    -7.56,    17.62
1.555,          ,   8.65,  -0.44,   4.20,     7.94,   -12.06,    15.75
1.560,          ,   8.65,  -0.44,   4.20,     7.94,   -12.06,    15.75
1.565,          ,   8.65,  -0.62,   4.38,     5.81,   -13.06,    13.62
1.570,          ,   8.65,  -0.62,   4.38,     5.81,   -13.06,    13.62
1.575,          ,   8.63,  -1.01,   4.39,     3.94,   -15.62,    12.31
1.580,          ,   8.63,  -1.01,   4.39,     3.94,   -15.62,    12.31
1.590,          ,   8.60,  -0.77,   4.37,     2.06,   -17.75,    11.19
1.595,          ,   8.54,  -0.41,   4.55,     1.19,   -19.06,     9.69
1.600,          ,   8.54,  -0.41,   4.55,     1.19,   -19.06,     9.69
1.605,          ,   8.65,  -0.11,   4.62,    -1.06,   -18.88,     7.44
1.610,          ,   8.65,  -0.11,   4.62,    -1.06,   -18.88,     7.44
1.615,          ,   8.88,  -0.27,   4.67,    -3.62,   -21.25,     4.81
1.620,          ,   8.88,  -0.27,   4.67,    -3.62,   -21.25,     4.81
1.625,          ,   8.96,  -0.60,   4.56,    -7.44,   -23.44,     3.44
1.630,          ,   8.96,  -0.60,   4.56,    -7.44,   -23.44,     3.44
1.635,          ,   8.57,  -0.98,   4.39,   -10.81,   -23.56,     2.81
1.640,          ,   8.57,  -0.98,   4.39,   -13.19,   -21.44,     2.94
1.650,          ,   8.41,  -0.98,   4.56,   -13.19,   -21.44,     2.94
1.655,          ,   8.36,  -1.09,   4.55,   -15.81,   -23.25,     3.56
1.675,          ,   8.36,  -1.09,   4.55,   -15.81,   -23.25,     3.56
1.680,          ,   9.51,  -1.31,   4.61,   -17.56,   -19.62,     3.06
1.690,          ,  10.55,  -1.19,   4.19,   -17.56,   -19.62,     3.06
1.695,          ,  11.33,  -0.92,   4.36,   -14.31,   -16.19,     0.81
1.700,          ,  11.33,  -0.92,   4.36,   -14.31,   -16.19,     0.81
1.705,          ,  11.06,  -1.03,   4.60,   -12.44,    -7.19,     0.56
1.710,          ,  11.06,  -1.03,   4.60,   -16.19,     9.06,     3.19
1.715,          ,  10.12,  -2.18,   4.35,   -16.19,     9.06,     3.19
1.720,          ,  10.12,  -2.18,   4.35,   -21.19,     8.56,     7.44
1.725,          ,  10.47,  -1.82,   3.98,   -21.19,     8.56,     7.44
1.730,          ,  10.95,  -1.73,   3.55,   -25.06,     5.06,    11.88
1.740,          ,  10.95,  -1.73,   3.55,   -25.06,     5.06,    11.88
1.745,          ,  11.06,  -1.49,   3.27,   -28.50,     5.88,    14.62
1.750,          ,  11.06,  -1.49,   3.27,   -28.50,     5.88,    14.62
1.755,          ,   9.83,  -1.69,   2.73,   -32.50,     4.38,    15.50
1.760,          ,   9.83,  -1.69,   2.73,   -37.19,    -2.50,    14.81
1.765,          ,   9.27,  -1.67,   2.60,   -37.19,    -2.50,    14.81
1.770,          ,   9.27,  -1.67,   2.60,   -39.25,   -17.31,    12.94
1.775,          ,   9.41,  -1.87,   2.47,   -39.25,   -17.31,    12.94
1.785,          ,   9.41,  -1.87,   2.47,   -39.56,   -35.50,     9.75
1.790,          ,   9.40,  -1.96,   2.56,   -39.56,   -35.50,     9.75
1.795,          ,   8.84,  -1.57,   2.23,   -37.81,   -39.88,     7.56
1.800,          ,   8.84,  -1.57,   2.23,   -37.81,   -39.88,     7.56
1.805,          ,   8.84,  -1.71,   2.09,   -35.88,   -40.12,     6.38
1.810,          ,   8.84,  -1.71,   2.09,   -32.06,   -44.62,     6.25
1.815,          ,   8.68,  -1.46,   1.97,   -32.06,   -44.62,     6.25
1.820,          ,   8.68,  -1.46,   1.97,   -32.06,   -44.62,     6.25
1.830,          ,   8.42,  -1.46,   2.42,   -26.81,   -44.12,     4.88
1.845,          ,   8.51,  -1.44,   2.18,   -24.38,   -46.94,    -0.31
1.850,          ,   8.68,  -1.81,   1.86,   -25.06,   -57.62,    -2.62
1.860,          ,   8.29,  -2.10,   1.33,   -25.06,   -57.62,    -2.62
1.865,          ,   8.35,  -1.18,   1.19,   -18.25,   -56.38,    -2.00
1.870,          ,   8.35,  -1.18,   1.19,   -18.25,   -56.38,    -2.00
1.875,          ,   8.66,  -1.18,   1.20,   -13.06,   -62.62,    -2.88
1.880,          ,   8.66,  -1.18,   1.20,   -13.06,   -62.62,    -2.88
1.885,          ,   8.91,  -1.43,   1.36,   -11.56,   -69.69,    -5.94
1.890,          ,   8.91,  -1.43,   1.36,   -12.12,   -71.62,    -7.19
1.900,          ,   9.09,  -1.41,   0.91,   -12.12,   -71.62,    -7.19
1.905,          ,   8.67,  -2.15,   0.43,   -13.25,   -70.56,    -7.69
1.910,          ,   8.67,  -2.15,   0.43,   -13.25,   -70.56,    -7.69
1.915,          ,   9.14,  -1.92,   0.72,   -12.69,   -64.25,    -9.06
1.920,          ,   9.14,  -1.92,   0.72,   -12.69,   -64.25,    -9.06
1.925,          ,   9.29,  -2.42,   0.54,   -14.25,   -64.50,    -8.50
1.930,          ,   9.29,  -2.42,   0.54,   -14.25,   -64.50,    -8.50
1.935,          ,   9.44,  -1.96,   0.27,   -16.31,   -61.75,    -5.69
1.940,          ,   9.44,  -1.96,   0.27,   -14.56,   -53.00,    -3.00
1.950,          ,   9.74,  -1.83,   0.04,   -14.56,   -53.00,    -3.00
1.955,          ,   9.84,  -2.77,   0.27,   -13.19,   -46.56,    -1.69
1.960,          ,   9.84,  -2.77,   0.27,   -13.19,   -46.56,    -1.69
1.965,          ,   9.66,  -2.75,   0.33,   -11.94,   -43.25,     1.12
1.970,          ,   9.66,  -2.75,   0.33,   -11.94,   -43.25,     1.12
1.975,          ,   9.88,  -1.69,   0.20,   -10.88,   -38.25,     5.81
1.980,          ,   9.88,  -1.69,   0.20,   -10.88,   -38.25,     5.81
1.990,          ,  10.54,  -2.37,   0.05,   -12.44,   -37.56,     8.88
1.995,          ,  10.19,  -2.78,   0.06,   -13.38,   -30.62,    11.38
2.000,          ,  10.19,  -2.78,   0.06,   -13.38,   -30.62,    11.38
2.020,          ,   9.75,  -2.00,   0.32,   -11.81,   -20.00,    15.38
2.025,          ,  10.14,  -0.48,   0.44,   -15.56,   -11.12,    16.69
2.030,          ,  10.14,  -0.48,   0.44,   -15.56,   -11.12,    16.69
2.035,          ,  10.21,  -0.08,   0.68,   -16.81,   -10.88,    14.00
2.040,          ,  10.21,  -0.08,   0.68,   -20.25,    -8.25,     9.88
2.050,          ,  10.08,  -0.73,   0.37,   -20.25,    -8.25,     9.88
2.055,          ,   9.67,  -1.12,   0.13,   -22.38,    -9.88,     6.69
2.060,          ,   9.67,  -1.12,   0.13,   -22.38,    -9.88,     6.69
2.065,          ,   9.51,  -2.00,   0.45,   -19.75,   -14.56,     2.56
2.070,          ,   9.51,  -2.00,   0.45,   -19.75,   -14.56,     2.56
2.075,          ,   9.33,  -2.58,   0.16,   -18.25,   -21.81,    -4.75
2.080,          ,   9.33,  -2.58,   0.16,   -18.25,   -21.81,    -4.75
2.085,          ,   8.87,  -2.14,   0.08,   -16.12,   -24.25,   -10.94
2.090,          ,   8.69,  -2.66,   0.41,   -12.81,   -22.25,   -16.19
2.100,          ,   8.69,  -2.66,   0.41,   -12.81,   -22.25,   -16.19
2.105,          ,   8.47,  -2.97,   0.35,   -11.50,   -23.75,   -19.50
2.110,          ,   8.47,  -2.97,   0.35,   -11.50,   -23.75,   -19.50
2.115,          ,   8.77,  -1.73,   0.28,    -8.38,   -23.00,   -19.62
2.120,          ,   8.77,  -1.73,   0.28,    -8.38,   -23.00,   -19.62
2.125,          ,   9.28,  -2.20,   0.19,    -4.56,   -20.19,   -20.69
2.130,          ,   9.28,  -2.20,   0.19,    -4.56,   -20.19,   -20.69
2.135,          ,   9.42,  -2.97,   0.04,    -2.69,   -14.50,   -20.12
2.140,          ,   9.74,  -1.53,   0.26,    -0.44,    -4.06,   -17.06
2.150,          ,   9.74,  -1.53,   0.26,    -0.44,    -4.06,   -17.06
2.155,          ,   9.85,  -2.01,   0.49,    -0.88,     0.56,   -15.38
